time,x,y,theta
102.803,0.609,0.288,0.431
102.912,0.603,0.279,0.415
103.032,0.597,0.27,0.398
103.115,0.591,0.261,0.382
103.232,0.585,0.251,0.365
103.313,0.579,0.242,0.348
103.47,0.638,0.276,0.238
103.665,0.579,0.268,0.197
103.767,0.571,0.255,0.184
103.849,0.563,0.241,0.172
104.118,0.489,0.257,0.147
104.321,0.419,0.241,0.116
104.541,0.352,0.097,0.187
104.636,0.362,0.093,0.169
104.872,0.296,0.071,0.072
105.085,0.289,0.207,0.001
105.293,0.288,0.072,0.085
105.516,0.299,0.184,0.022
105.739,0.353,0.166,-0.005
105.83,0.366,0.151,-0.004
105.983,0.407,0.171,-0.082
106.18,0.506,0.152,-0.094
106.29,0.499,0.139,-0.082
106.392,0.491,0.125,-0.069
106.49,0.484,0.113,-0.058
106.955,0.738,0.011,-0.204
107.023,0.735,0.015,-0.185
107.187,0.765,-0.013,-0.205
107.392,0.756,-0.025,-0.24
107.65,0.752,-0.013,-0.236
107.942,0.748,0.012,-0.055
108.186,0.741,0.018,0.171
108.395,0.718,0.107,0.295
108.614,0.678,0.106,0.42
108.84,0.646,0.11,0.555
109.011,0.616,0.11,0.652
109.277,0.601,0.013,0.745
109.347,0.598,0.022,0.762
109.643,0.556,0.131,0.72
109.891,0.54,0.139,0.735
110.08,0.524,0.146,0.741
110.315,0.513,0.153,0.769
110.531,0.499,0.17,0.802
110.741,0.484,0.191,0.813
110.864,0.483,0.198,0.832
110.938,0.482,0.204,0.851
111.087,0.546,0.076,0.825
111.164,0.544,0.085,0.842
111.291,0.57,0.087,0.912
111.373,0.567,0.096,0.929
111.64,0.561,0.108,1.111
111.83,0.566,0.112,1.306
111.946,0.561,0.128,1.318
112.138,0.515,0.132,1.566
112.265,0.511,0.152,1.566
112.353,0.507,0.172,1.566
112.593,0.393,0.153,1.694
112.668,0.396,0.171,1.687
112.941,0.345,0.213,1.797
113.125,0.318,0.255,1.752
113.244,0.327,0.268,1.74
113.361,0.336,0.282,1.728
113.476,0.344,0.295,1.716
113.543,0.353,0.308,1.703
113.888,0.285,0.537,1.718
114.027,0.299,0.529,1.706
114.133,0.313,0.522,1.693
114.238,0.326,0.515,1.681
114.343,0.34,0.507,1.668
114.449,0.354,0.5,1.656
114.555,0.368,0.493,1.644
114.67,0.382,0.485,1.631
114.868,0.373,0.485,1.67
114.964,0.369,0.484,1.69
115.066,0.365,0.484,1.709
115.173,0.361,0.483,1.729
115.26,0.356,0.483,1.749
115.369,0.352,0.482,1.768
115.474,0.348,0.482,1.788
115.563,0.343,0.481,1.807
115.667,0.339,0.481,1.827
115.769,0.335,0.48,1.846
115.874,0.331,0.48,1.866
115.96,0.326,0.48,1.885
116.067,0.322,0.479,1.905
116.175,0.318,0.479,1.924
116.259,0.313,0.478,1.944
116.369,0.309,0.478,1.963
116.47,0.305,0.477,1.983
116.571,0.3,0.477,2.002
116.68,0.296,0.476,2.022
116.767,0.292,0.476,2.041
116.88,0.288,0.475,2.061
116.967,0.283,0.475,2.08
117.078,0.279,0.474,2.1
117.18,0.275,0.474,2.12
117.266,0.27,0.474,2.139
117.373,0.266,0.473,2.159
117.478,0.262,0.473,2.178
117.566,0.258,0.472,2.198
117.687,0.253,0.472,2.217
117.769,0.249,0.471,2.237
117.878,0.245,0.471,2.256
118.161,0.28,0.651,1.99
118.407,0.265,0.653,2.163
118.482,0.261,0.649,2.182
118.57,0.257,0.645,2.201
118.81,0.23,0.653,2.562
119.037,0.212,0.647,2.704
119.157,0.206,0.639,2.722
119.272,0.199,0.632,2.739
120.461,0.193,0.624,2.756
120.575,0.187,0.616,2.773
120.788,0.303,0.618,3.031
120.973,0.318,0.596,3.033
121.184,0.333,0.643,3.001
121.403,0.329,0.66,3.043
121.62,0.33,0.662,3.068
121.83,0.314,0.65,3.073
121.901,0.299,0.639,3.077
122.06,0.252,0.568,3.077
122.252,0.211,0.621,3.058
122.404,0.199,0.607,3.065
122.562,0.089,0.576,-3.128
122.677,0.083,0.557,-3.13
122.788,0.078,0.539,-3.132
122.98,0.077,0.527,-3.171
123.341,-0.114,0.523,-3.026
123.64,-0.093,0.541,-3.103
123.827,-0.091,0.535,-3.122
123.886,-0.09,0.529,-3.141
124.045,-0.094,0.475,-3.006
124.15,-0.093,0.47,-3.025
124.247,-0.091,0.466,-3.044
124.505,-0.078,0.463,-3.016
124.668,-0.076,0.458,-3.035
124.928,-0.054,0.447,-3.026
125.108,-0.053,0.442,-3.046
125.268,-0.046,0.434,-3.023
125.387,-0.045,0.43,-3.042
125.509,-0.044,0.425,-3.062
125.614,-0.043,0.421,-3.081
125.735,-0.042,0.416,-3.101
125.813,-0.041,0.412,-3.12
125.908,-0.04,0.408,-3.14
125.996,-0.039,0.403,-3.159
126.257,-0.011,0.399,-3.01
126.459,-0.014,0.486,-2.992
126.617,-0.013,0.481,-3.011
126.731,-0.013,0.476,-3.031
127.037,0.017,0.376,-3.036
127.352,0.021,0.467,-3.021
127.495,0.021,0.462,-3.04
127.663,0.033,0.46,-3.025
127.821,0.033,0.455,-3.044
127.934,0.033,0.451,-3.064
127.993,0.034,0.446,-3.083
128.261,0.061,0.34,-3.03
128.46,0.062,0.443,-3.016
128.641,0.062,0.438,-3.036
128.897,0.095,0.321,-3.068
129.049,0.095,0.318,-3.087
129.356,0.111,0.31,-3.062
129.497,0.11,0.307,-3.082
129.656,0.119,0.302,-3.059
129.811,0.118,0.299,-3.079
129.942,0.117,0.296,-3.098
130.248,0.116,0.286,-3.117
130.565,0.087,0.398,3.082
130.776,0.063,0.396,2.959
130.926,0.063,0.391,2.94
132.035,-0.021,0.39,2.522
132.224,-0.022,0.382,2.525
132.379,-0.021,0.375,2.507
132.484,-0.019,0.369,2.488
132.594,-0.018,0.362,2.469
132.706,-0.016,0.356,2.45
132.812,-0.015,0.349,2.431
132.921,-0.014,0.343,2.412
133.034,-0.012,0.336,2.394
133.12,-0.011,0.329,2.375
133.389,0.008,0.334,2.377
133.6,0.027,0.314,2.247
133.827,-0.049,0.203,2.183
133.955,-0.046,0.198,2.164
134.014,-0.043,0.193,2.145
135.137,-0.001,0.056,1.65
135.632,0.005,-0.058,1.621
135.764,0.007,-0.054,1.601
135.823,0.01,-0.051,1.582
136.111,0.019,-0.152,1.619
136.429,0.028,-0.131,1.401
136.676,0.122,-0.108,1.298
136.863,0.033,0.06,1.163
137.085,0.156,-0.062,1.076
137.173,0.153,-0.052,1.059
137.443,0.103,0.016,1.092
137.681,0.119,0.052,1.091
137.919,0.178,0.104,1.093
139.061,0.255,0.172,0.511
139.312,0.178,0.239,0.148
139.557,0.15,0.244,0.006
139.885,0.109,0.255,-0.207
140.062,0.083,0.306,-0.313
140.157,0.084,0.303,-0.293
141.307,0.03,0.285,0.171
141.506,0.057,0.324,0.264
141.604,0.059,0.316,0.283
141.846,0.18,0.258,0.41
142.109,0.204,0.271,0.528
142.296,0.236,0.268,0.644
142.527,0.241,0.279,0.63
142.653,0.231,0.266,0.641
142.776,0.221,0.253,0.653
142.87,0.21,0.24,0.664
142.964,0.2,0.227,0.675
143.214,0.228,0.247,0.877
143.334,0.216,0.234,0.868
143.441,0.204,0.22,0.86
143.55,0.192,0.206,0.851
143.655,0.18,0.193,0.843
143.901,-0.0,0.079,0.949
144.119,-0.034,0.03,0.99
144.235,-0.024,0.036,0.974
144.473,-0.034,-0.069,1.036
144.738,-0.167,0.077,0.885
